Trial 27 finished with values: [10.662966319492885, 0.8294678500720433] and parameters: {'resnet2d_inplanes_0': 39, 'resnet3d_inplanes_0': 30, 'resnet2d_inplanes_1': 52, 'resnet3d_inplanes_1': 22, 'resnet2d_inplanes_2': 46, 'resnet3d_inplanes_2': 30, 'optimizer': 'Adam', 'lr': 0.058308261280741285, 'weight_decay': 2.8278279315570008e-05, 'batch_size': 2}. 
Trial 28 finished with values: [15.082123374938964, 0.8474731087684632] and parameters: {'resnet2d_inplanes_0': 64, 'resnet3d_inplanes_0': 20, 'resnet2d_inplanes_1': 59, 'resnet3d_inplanes_1': 23, 'resnet2d_inplanes_2': 50, 'resnet3d_inplanes_2': 31, 'optimizer': 'SGD', 'lr': 0.002052413003294124, 'weight_decay': 6.190567178420045e-05, 'batch_size': 3}. 
Trial 29 finished with values: [11.504350185394287, 0.8585130274295807] and parameters: {'resnet2d_inplanes_0': 38, 'resnet3d_inplanes_0': 19, 'resnet2d_inplanes_1': 32, 'resnet3d_inplanes_1': 23, 'resnet2d_inplanes_2': 54, 'resnet3d_inplanes_2': 28, 'optimizer': 'SGD', 'lr': 5.8323439996696084e-05, 'weight_decay': 3.853917558475407e-05, 'batch_size': 4}. 
Trial 30 finished with values: [8.656958937644958, 0.7922691404819489] and parameters: {'resnet2d_inplanes_0': 36, 'resnet3d_inplanes_0': 25, 'resnet2d_inplanes_1': 50, 'resnet3d_inplanes_1': 29, 'resnet2d_inplanes_2': 34, 'resnet3d_inplanes_2': 27, 'optimizer': 'RMSprop', 'lr': 1.4289468591608565e-05, 'weight_decay': 0.0013941205906786627, 'batch_size': 5}. 
Trial 31 finished with values: [19.918735231672013, 0.9494263359478542] and parameters: {'resnet2d_inplanes_0': 60, 'resnet3d_inplanes_0': 27, 'resnet2d_inplanes_1': 48, 'resnet3d_inplanes_1': 22, 'resnet2d_inplanes_2': 52, 'resnet3d_inplanes_2': 19, 'optimizer': 'SGD', 'lr': 0.015466949368578594, 'weight_decay': 3.305140760790167e-05, 'batch_size': 2}. 
Trial 32 finished with values: [12.33311424255371, 0.8419148445129394] and parameters: {'resnet2d_inplanes_0': 53, 'resnet3d_inplanes_0': 16, 'resnet2d_inplanes_1': 61, 'resnet3d_inplanes_1': 23, 'resnet2d_inplanes_2': 38, 'resnet3d_inplanes_2': 22, 'optimizer': 'Adam', 'lr': 3.2620843680233216e-05, 'weight_decay': 0.0001348490107273143, 'batch_size': 3}. 
Trial 33 finished with values: [14.435978507995605, 0.8455728769302369] and parameters: {'resnet2d_inplanes_0': 35, 'resnet3d_inplanes_0': 21, 'resnet2d_inplanes_1': 36, 'resnet3d_inplanes_1': 32, 'resnet2d_inplanes_2': 48, 'resnet3d_inplanes_2': 27, 'optimizer': 'SGD', 'lr': 0.00010238391675634789, 'weight_decay': 6.685436440521994e-05, 'batch_size': 3}. 
Trial 34 finished with values: [11.929210901260376, 0.8126328885555267] and parameters: {'resnet2d_inplanes_0': 62, 'resnet3d_inplanes_0': 17, 'resnet2d_inplanes_1': 51, 'resnet3d_inplanes_1': 18, 'resnet2d_inplanes_2': 45, 'resnet3d_inplanes_2': 19, 'optimizer': 'SGD', 'lr': 0.0002059697440795347, 'weight_decay': 4.9362561536712196e-06, 'batch_size': 5}. 
Trial 35 finished with values: [7.432455658912659, 0.7397665977478027] and parameters: {'resnet2d_inplanes_0': 49, 'resnet3d_inplanes_0': 20, 'resnet2d_inplanes_1': 32, 'resnet3d_inplanes_1': 19, 'resnet2d_inplanes_2': 48, 'resnet3d_inplanes_2': 25, 'optimizer': 'Adam', 'lr': 0.0003311732910611122, 'weight_decay': 0.004917319215620713, 'batch_size': 5}. 
Trial 36 finished with values: [9.064515658787318, 0.7695111972945077] and parameters: {'resnet2d_inplanes_0': 57, 'resnet3d_inplanes_0': 30, 'resnet2d_inplanes_1': 34, 'resnet3d_inplanes_1': 32, 'resnet2d_inplanes_2': 64, 'resnet3d_inplanes_2': 16, 'optimizer': 'SGD', 'lr': 3.0210446225153592e-05, 'weight_decay': 0.004586289376124436, 'batch_size': 2}. 
