Trial 38 finished with values: [8.523612022399902, 0.7922180493672689] and parameters: {'resnet2d_inplanes_0': 57, 'resnet3d_inplanes_0': 21, 'resnet2d_inplanes_1': 54, 'resnet3d_inplanes_1': 19, 'resnet2d_inplanes_2': 39, 'resnet3d_inplanes_2': 27, 'optimizer': 'RMSprop', 'lr': 2.046968768849621e-05, 'weight_decay': 0.0014144062801876042, 'batch_size': 5}. 
Trial 39 finished with values: [12.24156665802002, 0.820256769657135] and parameters: {'resnet2d_inplanes_0': 52, 'resnet3d_inplanes_0': 31, 'resnet2d_inplanes_1': 58, 'resnet3d_inplanes_1': 32, 'resnet2d_inplanes_2': 54, 'resnet3d_inplanes_2': 26, 'optimizer': 'SGD', 'lr': 0.00019837404698074855, 'weight_decay': 6.542540930187642e-06, 'batch_size': 5}. 
Trial 40 finished with values: [11.005282163619995, 0.8330132365226746] and parameters: {'resnet2d_inplanes_0': 58, 'resnet3d_inplanes_0': 30, 'resnet2d_inplanes_1': 63, 'resnet3d_inplanes_1': 23, 'resnet2d_inplanes_2': 53, 'resnet3d_inplanes_2': 28, 'optimizer': 'RMSprop', 'lr': 0.029718251938184916, 'weight_decay': 5.266534243088136e-06, 'batch_size': 3}. 
Trial 41 finished with values: [10.099863688151041, 0.8281352519989014] and parameters: {'resnet2d_inplanes_0': 53, 'resnet3d_inplanes_0': 23, 'resnet2d_inplanes_1': 51, 'resnet3d_inplanes_1': 32, 'resnet2d_inplanes_2': 57, 'resnet3d_inplanes_2': 30, 'optimizer': 'RMSprop', 'lr': 0.003429572391463127, 'weight_decay': 1.5617833010595334e-05, 'batch_size': 4}. 
Trial 42 finished with values: [11.010852495829264, 0.805471142133077] and parameters: {'resnet2d_inplanes_0': 32, 'resnet3d_inplanes_0': 19, 'resnet2d_inplanes_1': 58, 'resnet3d_inplanes_1': 30, 'resnet2d_inplanes_2': 40, 'resnet3d_inplanes_2': 21, 'optimizer': 'RMSprop', 'lr': 0.004173195123931719, 'weight_decay': 0.005168229508809243, 'batch_size': 2}. 
Trial 43 finished with values: [10.65625286102295, 0.8151141405105591] and parameters: {'resnet2d_inplanes_0': 53, 'resnet3d_inplanes_0': 28, 'resnet2d_inplanes_1': 34, 'resnet3d_inplanes_1': 31, 'resnet2d_inplanes_2': 63, 'resnet3d_inplanes_2': 32, 'optimizer': 'Adam', 'lr': 1.8003619310670933e-05, 'weight_decay': 0.007756741798795982, 'batch_size': 3}. 
Trial 44 finished with values: [14.364454984664917, 0.8814050108194351] and parameters: {'resnet2d_inplanes_0': 63, 'resnet3d_inplanes_0': 31, 'resnet2d_inplanes_1': 56, 'resnet3d_inplanes_1': 17, 'resnet2d_inplanes_2': 51, 'resnet3d_inplanes_2': 16, 'optimizer': 'Adam', 'lr': 2.3310215495191795e-05, 'weight_decay': 2.5953849961508382e-05, 'batch_size': 3}. 
Trial 45 finished with values: [8.961028933525085, 0.7913639694452286] and parameters: {'resnet2d_inplanes_0': 48, 'resnet3d_inplanes_0': 25, 'resnet2d_inplanes_1': 44, 'resnet3d_inplanes_1': 28, 'resnet2d_inplanes_2': 64, 'resnet3d_inplanes_2': 21, 'optimizer': 'RMSprop', 'lr': 0.0010481965157465058, 'weight_decay': 5.652782859934122e-06, 'batch_size': 3}. 
Trial 46 finished with values: [16.919514179229736, 0.9167868693669637] and parameters: {'resnet2d_inplanes_0': 39, 'resnet3d_inplanes_0': 29, 'resnet2d_inplanes_1': 33, 'resnet3d_inplanes_1': 16, 'resnet2d_inplanes_2': 62, 'resnet3d_inplanes_2': 19, 'optimizer': 'SGD', 'lr': 4.746992681079206e-05, 'weight_decay': 0.00600878029471003, 'batch_size': 2}. 
Trial 47 finished with values: [14.523770570755005, 0.8368558883666992] and parameters: {'resnet2d_inplanes_0': 33, 'resnet3d_inplanes_0': 29, 'resnet2d_inplanes_1': 62, 'resnet3d_inplanes_1': 27, 'resnet2d_inplanes_2': 54, 'resnet3d_inplanes_2': 19, 'optimizer': 'Adam', 'lr': 0.002332629050901931, 'weight_decay': 0.00042371592737436444, 'batch_size': 3}. 
